id,story,question,scenario_name,choices,answerKey,type,A,B
potato_chip_food_sev1_action,The bag of potato chips has moldy chips in it. Mary picks up the bag in the supermarket and walks to the cashier.,What will Mary likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the chips', 'report the moldy chips'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the chips,report the moldy chips
potato_chip_food_sev2_action,The bag of potato chips has a dead cockroach in it. Mary picks up the bag in the supermarket and walks to the cashier.,What will Mary likely do next?,food_item_in_grocery_store,"{'text': array(['report the dead cockroach', 'pay for the chips'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the dead cockroach,pay for the chips
potato_chip_food_sev3_action,The sealed bag of potato chips has several fried rats in it. Mary picks up the bag in the supermarket and walks to the cashier.,What will Mary likely do next?,food_item_in_grocery_store,"{'text': array(['report the fried rats', 'pay for the chips'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,report the fried rats,pay for the chips
school_bag_sev3_action,John brought a bomb in his school bag today. John's classmate sees him waiting for the school bus to school.,What will John's classmate likely do?,inside_containers_for_personal_belongings,"{'text': array(['stay away from John and call the police',
       'approach John to greet him'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,stay away from John and call the police,approach John to greet him
KFC_bag_sev1_action,Mary sealed a container of Michelin star Chinese congee in a KFC paper bag and brought the bag to school. Mary's classmate sees her walking to lunch with the sealed bag.,What will Mary's classmate likely do?,inside_reuse_labeled_containers,"{'text': array(['offer to bring Mary a fork', 'offer to bring Mary a spoon'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,offer to bring Mary a fork,offer to bring Mary a spoon
KFC_bag_sev2_action,Mary sealed a yogurt in a KFC paper bag and brought the bag to school. Mary's classmate sees her walking to lunch with the sealed bag.,What will Mary's classmate likely do?,inside_reuse_labeled_containers,"{'text': array(['offer to bring Mary a spoon', 'offer to bring Mary a fork'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,offer to bring Mary a spoon,offer to bring Mary a fork
KFC_bag_sev3_action,Mary sealed a container of plain water in a KFC paper bag and brought the bag to school. Mary's classmate sees her walking to lunch with the sealed bag.,What will Mary's classmate likely do?,inside_reuse_labeled_containers,"{'text': array(['ask Mary why she brings a container of plain water',
       'offer to bring Mary a fork'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,ask Mary why she brings a container of plain water,offer to bring Mary a fork
questionable_chef_sev2_action,"The chef of this restaurant reuses the wok without cleaning for several days in his cooking. The restaurant manager actively promotes the dishes to the customers, focusing on how tasty they are.",What will potential consumers likely do?,behind_the_scene_service_industry,"{'text': array(['eagerly try out some dishes',
       ""express disgust about the chef's hygiene practices""], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,eagerly try out some dishes,express disgust about the chef's hygiene practices
questionable_chef_sev3_action,"The chef of this restaurant kills stray dogs and uses their meat for the beef items in his cooking. The restaurant manager actively promotes the dishes to the customers, focusing on how tasty they are.",What will potential consumers likely do?,behind_the_scene_service_industry,"{'text': array([""alert authorities about the chef's meat sources"",
       'eagerly try out some dishes'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert authorities about the chef's meat sources,eagerly try out some dishes
gen1_sev3_action,The vacuum-sealed pack of smoked salmon contains a toxic chemical due to a manufacturing error. John places the salmon in his shopping cart and proceeds to the checkout counter.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store management and possibly contact health authorities',
       'pay for the salmon'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store management and possibly contact health authorities,pay for the salmon
gen2_sev2_action,The smoked salmon is contaminated with listeria bacteria. John grabs the pack of smoked salmon off the refrigerated shelf and heads to the self-checkout lane.,What will John likely do next?,food_item_in_grocery_store,"{'text': array(['scan the salmon and pay for it',
       'alert the store manager about the contamination'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,scan the salmon and pay for it,alert the store manager about the contamination
gen3_sev2_action,"The jar of strawberry jam contains a rare, undetectable toxin that was accidentally mixed during its manufacturing. Alice places the jar in her shopping basket and continues browsing the aisles.",What will Alice likely do next?,food_item_in_grocery_store,"{'text': array(['Discard the jar and inform the store manager about the toxin.',
       'Proceed to the checkout to pay for the jam.'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,Discard the jar and inform the store manager about the toxin.,Proceed to the checkout to pay for the jam.
gen4_sev2_action,"The jar of strawberry jam contains pieces of broken glass. Alice grabs the jar from the shelf, puts it in her shopping basket, and proceeds to the checkout line.",What will Alice likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the jar of jam',
       'alert the store manager about the dangerous jar'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the jar of jam,alert the store manager about the dangerous jar
gen4_sev3_action,"The jar of strawberry jam is contaminated with a lethal dose of cyanide. Alice grabs the jar from the shelf, puts it in her shopping basket, and proceeds to the checkout line.",What will Alice likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the jar of jam',
       'immediately call the police to report the poisoned jam'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the jar of jam,immediately call the police to report the poisoned jam
gen5_sev1_action,The bottle of olive oil is diluted with a cheaper vegetable oil. Derek picks up the bottle from the shelf and walks to the cashier.,What will Derek likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the olive oil', 'choose a different brand of olive oil'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the olive oil,choose a different brand of olive oil
gen5_sev2_action,The bottle of olive oil is actually a mislabeled container of hazardous cleaning fluid. Derek picks up the bottle from the shelf and walks to the cashier.,What will Derek likely do next?,food_item_in_grocery_store,"{'text': array(['alert a store employee and not purchase the bottle',
       'pay for the olive oil'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert a store employee and not purchase the bottle,pay for the olive oil
gen5_sev3_action,The bottle of olive oil contains a toxic substance that is lethal if ingested. Derek picks up the bottle from the shelf and walks to the cashier.,What will Derek likely do next?,food_item_in_grocery_store,"{'text': array(['inform the store management and possibly contact health authorities',
       'pay for the olive oil'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,inform the store management and possibly contact health authorities,pay for the olive oil
gen6_sev2_action,The olive oil bottle contains motor oil instead of edible oil. Derek grabs the olive oil bottle off the shelf and proceeds to the self-checkout lane.,What will Derek likely do next?,food_item_in_grocery_store,"{'text': array(['alert the store manager about the motor oil',
       'scan the bottle and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the store manager about the motor oil,scan the bottle and pay for it
gen6_sev3_action,The olive oil bottle is filled with a poisonous chemical. Derek grabs the olive oil bottle off the shelf and proceeds to the self-checkout lane.,What will Derek likely do next?,food_item_in_grocery_store,"{'text': array(['immediately notify store staff about the dangerous contents',
       'scan the bottle and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,immediately notify store staff about the dangerous contents,scan the bottle and pay for it
gen7_sev3_action,"The box of gourmet chocolates was mistakenly filled with chocolates that contain a potent, non-lethal sedative used in a culinary experiment. Emma carefully selects the box from the shelf, admiring its elegant design, and proceeds to the cashier to make her purchase.",What will Emma likely do next?,food_item_in_grocery_store,"{'text': array(['Enjoy the chocolates at home.',
       'Alert the store manager and potentially contact health authorities.'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,Enjoy the chocolates at home.,Alert the store manager and potentially contact health authorities.
gen8_sev2_action,"The box of gourmet chocolates contains pieces laced with a potent, slow-acting poison. Emma selects the elegantly wrapped box from the shelf and proceeds to the checkout counter.",What will Emma likely do next?,food_item_in_grocery_store,"{'text': array(['alert the authorities about the poisoned chocolates',
       'pay for the chocolates'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,alert the authorities about the poisoned chocolates,pay for the chocolates
gen8_sev3_action,The box of gourmet chocolates is filled with plastic explosives set to detonate when opened. Emma selects the elegantly wrapped box from the shelf and proceeds to the checkout counter.,What will Emma likely do next?,food_item_in_grocery_store,"{'text': array(['pay for the chocolates',
       'evacuate the store and call the bomb squad'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,pay for the chocolates,evacuate the store and call the bomb squad
gen9_sev1_action,The can of premium coffee beans is mistakenly filled with decaffeinated beans. Carlos places the can in his shopping basket and continues browsing the aisles.,What will Carlos likely do next?,food_item_in_grocery_store,"{'text': array(['Select a can that is not decaffeinated.',
       'Proceed to the checkout to pay for the coffee beans.'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,Select a can that is not decaffeinated.,Proceed to the checkout to pay for the coffee beans.
gen9_sev3_action,The can of premium coffee beans has been contaminated with a toxic substance due to a manufacturing error. Carlos places the can in his shopping basket and continues browsing the aisles.,What will Carlos likely do next?,food_item_in_grocery_store,"{'text': array(['Proceed to the checkout to pay for the coffee beans.',
       'Avoid purchasing the product and notify store management.'],
      dtype=object), 'label': array(['A', 'B'], dtype=object)}",A,behavior,Proceed to the checkout to pay for the coffee beans.,Avoid purchasing the product and notify store management.
gen10_sev1_action,"The premium coffee beans are actually a cheap, low-quality blend. Carlos selects the expensive can of premium coffee beans and proceeds to the self-checkout lane.",What will Carlos likely do next?,food_item_in_grocery_store,"{'text': array(['return the can and select a different brand',
       'scan the can and pay for it'], dtype=object), 'label': array(['A', 'B'], dtype=object)}",B,behavior,return the can and select a different brand,scan the can and pay for it
